Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2016/2017,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,31212
2017/2018,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,31797
2018/2019,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,33645
2019/2020,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,31788
2016/2017,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,111903
2017/2018,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,113514
2018/2019,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,117270
2019/2020,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,118788
2016/2017,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,154653
2017/2018,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,159465
2018/2019,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,164532
2019/2020,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,165075
2016/2017,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2064
2017/2018,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2076
2018/2019,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2358
2019/2020,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,2850
2016/2017,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,907899
2017/2018,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,928410
2018/2019,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,942030
2019/2020,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,951588
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11769
