Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2018/2019,Ontario,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,463668
2019/2020,Ontario,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,473604
2016/2017,Manitoba,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,37392
2017/2018,Manitoba,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,37428
2018/2019,Manitoba,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,37611
2019/2020,Manitoba,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,38715
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,27639
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,28449
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,29223
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,30339
2016/2017,Alberta,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,94152
2017/2018,Alberta,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,97749
2018/2019,Alberta,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,100209
2019/2020,Alberta,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,101784
2016/2017,British Columbia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,141552
2017/2018,British Columbia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,144330
2018/2019,British Columbia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,148494
2019/2020,British Columbia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,151092
2016/2017,Territories,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,471
2017/2018,Territories,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,477
2018/2019,Territories,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,537
2019/2020,Territories,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,618
2016/2017,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,588918
2017/2018,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,595296
